symbol,names_raw,provenance,charge,cas,source_count,formula_raw,molar_mass_raw,molar_mass_unit,raw_cells,data_page
12PrDiol,"1,2-Propanediol; Propylene Glycol; Propane-1,2-diol","{""bbox_points"": [65.53215189873417, 165.39000000000001, 532.6724050632911, 210.72000000000003], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GES.PDF""}",0,57-55-6,26,C(3)H(8)O(2),76.0953,source column Mol. mass (unit not stated on table),"[""0"", ""57-55-6"", ""26"", ""C(3)H(8)O(2)"", ""76.0953""]",1
35DiNitrCat-2,,"{""bbox_points"": [65.53215189873417, 229.20000000000005, 532.6724050632911, 264.0], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GES.PDF""}",-2,,4,C(6)H(2)N(2)O(6),198.092,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""4"", ""C(6)H(2)N(2)O(6)"", ""198.092""]",1
3NitrCat-2,,"{""bbox_points"": [65.53215189873417, 282.48, 532.6724050632911, 317.4], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GES.PDF""}",-2,,6,C(6)H(3)N(1)O(4),153.094,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""6"", ""C(6)H(3)N(1)O(4)"", ""153.094""]",1
Adonitol,Adonitol; Ribitol; Adonite,"{""bbox_points"": [65.53215189873417, 335.76000000000005, 532.6724050632911, 380.88], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GES.PDF""}",0,488-81-3,4,C(5)H(12)O(5),152.147,source column Mol. mass (unit not stated on table),"[""0"", ""488-81-3"", ""4"", ""C(5)H(12)O(5)"", ""152.147""]",1
Ag(s),"Silver; Silver, cubic","{""bbox_points"": [65.53215189873417, 399.36, 532.6724050632911, 444.36], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GES.PDF""}",0,7440-22-4,182,Ag(1),107.870,source column Mol. mass (unit not stated on table),"[""0"", ""7440-22-4"", ""182"", ""Ag(1)"", ""107.870""]",1
Ag6Sn4P12Ge6(s),Silver tin germanium phosphorous amalgam,"{""bbox_points"": [65.53215189873417, 462.84, 532.6724050632911, 507.84], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GES.PDF""}",0,,1,Ag(6)Ge(6)P(12)Sn(4),1929.53,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""Ag(6)Ge(6)P(12)Sn(4)"", ""1929.53""]",1
AlizarinRedS-3,,"{""bbox_points"": [65.53215189873417, 526.32, 532.6724050632911, 561.24], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GES.PDF""}",-3,,52,C(14)H(5)O(7)S(1),317.250,source column Mol. mass (unit not stated on table),"[""-3"", ""---"", ""52"", ""C(14)H(5)O(7)S(1)"", ""317.250""]",1
Br2(l),"Bromine, liquid","{""bbox_points"": [65.53215189873417, 579.6, 532.6724050632911, 624.72], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GES.PDF""}",0,,285,Br(2),159.808,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""285"", ""Br(2)"", ""159.808""]",1
BuXanthate-1,,"{""bbox_points"": [65.53215189873417, 643.2, 532.6724050632911, 678.0], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GES.PDF""}",-1,,14,C(5)H(9)O(1)S(2),149.246,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""14"", ""C(5)H(9)O(1)S(2)"", ""149.246""]",1
Citric-3,Citrate ion,"{""bbox_points"": [65.52, 57.0, 532.68, 102.12], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",-3,126-44-3,1347,C(6)H(5)O(7),189.102,source column Mol. mass (unit not stated on table),"[""-3"", ""126-44-3"", ""1347"", ""C(6)H(5)O(7)"", ""189.102""]",2
Cl-1,Chloride ion,"{""bbox_points"": [65.52, 120.60000000000002, 532.68, 165.60000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",-1,16887-00-6,2242,Cl(1),35.4530,source column Mol. mass (unit not stated on table),"[""-1"", ""16887-00-6"", ""2242"", ""Cl(1)"", ""35.4530""]",2
Cl2(g),Chlorine gas,"{""bbox_points"": [65.52, 184.08000000000004, 532.68, 229.20000000000005], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",0,7782-50-5,589,Cl(2),70.9060,source column Mol. mass (unit not stated on table),"[""0"", ""7782-50-5"", ""589"", ""Cl(2)"", ""70.9060""]",2
DArabinose,D-Arabinose; D(-)-Arabinose; Arabinose D-,"{""bbox_points"": [65.52, 247.56000000000003, 532.68, 292.68], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",0,28697-53-2,4,C(5)H(10)O(5),150.131,source column Mol. mass (unit not stated on table),"[""0"", ""28697-53-2"", ""4"", ""C(5)H(10)O(5)"", ""150.131""]",2
DFructose,"D-Fructose; D(-)-Fructose; Fructose D-; D-Levulose; Levulose D; Fruit Sugar; Sugar
(Fructose)","{""bbox_points"": [65.52, 311.16, 532.68, 366.36], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",0,57-48-7,16,C(6)H(12)O(6),180.158,source column Mol. mass (unit not stated on table),"[""0"", ""57-48-7"", ""16"", ""C(6)H(12)O(6)"", ""180.158""]",2
DGalactose,D-Galactose; D(+)-Galactose; Galactose D,"{""bbox_points"": [65.52, 384.84000000000003, 532.68, 429.84], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",0,59-23-4,11,C(6)H(12)O(6),180.158,source column Mol. mass (unit not stated on table),"[""0"", ""59-23-4"", ""11"", ""C(6)H(12)O(6)"", ""180.158""]",2
DGlucose,,"{""bbox_points"": [65.52, 448.32, 532.68, 483.23999999999995], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",0,,22,C(6)H(12)O(6),180.158,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""22"", ""C(6)H(12)O(6)"", ""180.158""]",2
DLyxose,D-Lyxose; alpha-D-Lyxose; Lyxsose D,"{""bbox_points"": [65.52, 501.6, 532.68, 546.72], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",0,1114-34-7,7,C(5)H(10)O(5),150.131,source column Mol. mass (unit not stated on table),"[""0"", ""1114-34-7"", ""7"", ""C(5)H(10)O(5)"", ""150.131""]",2
DMannitol,D-Mannitol; Mannitol,"{""bbox_points"": [65.52, 565.2, 532.68, 610.2], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",0,,20,C(6)H(14)O(6),182.174,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""20"", ""C(6)H(14)O(6)"", ""182.174""]",2
DMannose,D-Mannose; Seminose; Carubinose,"{""bbox_points"": [65.52, 628.68, 532.68, 673.6800000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GES.PDF""}",0,3458-28-4,16,C(6)H(12)O(6),180.158,source column Mol. mass (unit not stated on table),"[""0"", ""3458-28-4"", ""16"", ""C(6)H(12)O(6)"", ""180.158""]",2
DRibose,D-Ribose; D(-)-Ribose; Ribose D,"{""bbox_points"": [65.52, 57.0, 532.68, 102.12], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 3, ""source_file"": ""GES.PDF""}",0,50-69-1,6,C(5)H(10)O(5),150.131,source column Mol. mass (unit not stated on table),"[""0"", ""50-69-1"", ""6"", ""C(5)H(10)O(5)"", ""150.131""]",3
DSorbitol,D-Sorbitol; Sorbitol; D-Glucitol; Glucitol; L-Gulitol,"{""bbox_points"": [65.52, 120.60000000000002, 532.68, 165.60000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 3, ""source_file"": ""GES.PDF""}",0,50-70-4,12,C(6)H(14)O(6),182.174,source column Mol. mass (unit not stated on table),"[""0"", ""50-70-4"", ""12"", ""C(6)H(14)O(6)"", ""182.174""]",3
